Date,SKUCode,NetSales,OrderQty,SKUName,Category,MainChannel
19-02-2025,SKU-001,91.63,31,Almond Croissant,Food,In-Store
19-03-2025,SKU-001,60.72,21,Almond Croissant,Food,In-Store
19-11-2024,SKU-001,65.6,19,Almond Croissant,Food,In-Store
19-12-2024,SKU-001,63.12,20,Almond Croissant,Food,In-Store
20-01-2025,SKU-001,37.17,10,Almond Croissant,Food,ShopeeFood
20-02-2025,SKU-001,101.24,33,Almond Croissant,Food,In-Store
20-03-2025,SKU-001,60.13,19,Almond Croissant,Food,In-Store
20-11-2024,SKU-001,85.58,27,Almond Croissant,Food,In-Store
20-12-2024,SKU-001,104.49,31,Almond Croissant,Food,In-Store
21-01-2025,SKU-001,59.15,17,Almond Croissant,Food,In-Store
21-02-2025,SKU-001,71.76,25,Almond Croissant,Food,In-Store
21-03-2025,SKU-001,52.77,20,Almond Croissant,Food,In-Store
21-11-2024,SKU-001,83.21,25,Almond Croissant,Food,In-Store
21-12-2024,SKU-001,27.6,9,Almond Croissant,Food,In-Store
22-01-2025,SKU-001,79.12,26,Almond Croissant,Food,In-Store
22-02-2025,SKU-001,44.71,14,Almond Croissant,Food,In-Store
22-03-2025,SKU-001,12.88,7,Almond Croissant,Food,In-Store
22-11-2024,SKU-001,83.36,28,Almond Croissant,Food,ShopeeFood
22-12-2024,SKU-001,33.12,12,Almond Croissant,Food,In-Store
23-01-2025,SKU-001,74.49,27,Almond Croissant,Food,ShopeeFood
23-02-2025,SKU-001,40.48,16,Almond Croissant,Food,In-Store
23-03-2025,SKU-001,14.72,6,Almond Croissant,Food,In-Store
23-11-2024,SKU-001,47.08,14,Almond Croissant,Food,ShopeeFood
23-12-2024,SKU-001,57.98,17,Almond Croissant,Food,In-Store
24-01-2025,SKU-001,90.21,29,Almond Croissant,Food,In-Store
24-02-2025,SKU-001,99.6,32,Almond Croissant,Food,In-Store
24-03-2025,SKU-001,55.2,21,Almond Croissant,Food,In-Store
24-11-2024,SKU-001,25.76,10,Almond Croissant,Food,In-Store
24-12-2024,SKU-001,62.56,19,Almond Croissant,Food,In-Store
25-01-2025,SKU-001,33.12,12,Almond Croissant,Food,In-Store
25-02-2025,SKU-001,101.2,34,Almond Croissant,Food,Odaring
25-03-2025,SKU-001,49.68,20,Almond Croissant,Food,In-Store
25-11-2024,SKU-001,85.26,23,Almond Croissant,Food,In-Store
25-12-2024,SKU-001,37.33,10,Almond Croissant,Food,In-Store
26-01-2025,SKU-001,46.0,16,Almond Croissant,Food,In-Store
26-02-2025,SKU-001,89.26,27,Almond Croissant,Food,In-Store
26-03-2025,SKU-001,56.14,20,Almond Croissant,Food,In-Store
26-11-2024,SKU-001,84.01,28,Almond Croissant,Food,ShopeeFood
26-12-2024,SKU-001,39.54,13,Almond Croissant,Food,In-Store
27-01-2025,SKU-001,88.64,30,Almond Croissant,Food,ShopeeFood
27-02-2025,SKU-001,109.68,37,Almond Croissant,Food,In-Store
27-03-2025,SKU-001,64.4,22,Almond Croissant,Food,In-Store
27-11-2024,SKU-001,85.09,28,Almond Croissant,Food,In-Store
27-12-2024,SKU-001,69.96,22,Almond Croissant,Food,In-Store
28-01-2025,SKU-001,81.9,28,Almond Croissant,Food,ShopeeFood
28-02-2025,SKU-001,88.32,33,Almond Croissant,Food,In-Store
28-03-2025,SKU-001,66.68,24,Almond Croissant,Food,In-Store
28-11-2024,SKU-001,49.72,15,Almond Croissant,Food,ShopeeFood
28-12-2024,SKU-001,32.16,9,Almond Croissant,Food,ShopeeFood
29-01-2025,SKU-001,48.63,19,Almond Croissant,Food,In-Store
29-03-2025,SKU-001,18.4,7,Almond Croissant,Food,In-Store
29-11-2024,SKU-001,77.12,21,Almond Croissant,Food,In-Store
29-12-2024,SKU-001,33.3,10,Almond Croissant,Food,In-Store
30-01-2025,SKU-001,53.72,17,Almond Croissant,Food,In-Store
30-03-2025,SKU-001,13.82,6,Almond Croissant,Food,In-Store
30-11-2024,SKU-001,29.44,11,Almond Croissant,Food,In-Store
30-12-2024,SKU-001,57.04,21,Almond Croissant,Food,In-Store
31-01-2025,SKU-001,64.4,26,Almond Croissant,Food,In-Store
31-12-2024,SKU-001,90.23,24,Almond Croissant,Food,ShopeeFood
01-01-2026,SKU-002,55.52,20,Almond Milk,Beverage,ShopeeFood
01-02-2025,SKU-002,43.96,16,Almond Milk,Beverage,ShopeeFood
01-02-2026,SKU-002,66.21,24,Almond Milk,Beverage,GrabFood
01-03-2025,SKU-002,72.47,26,Almond Milk,Beverage,GrabFood
01-03-2026,SKU-002,28.3,10,Almond Milk,Beverage,GrabFood
01-04-2025,SKU-002,16.98,6,Almond Milk,Beverage,GrabFood
01-04-2026,SKU-002,137.96,49,Almond Milk,Beverage,ShopeeFood
01-05-2025,SKU-002,98.41,35,Almond Milk,Beverage,ShopeeFood
01-06-2025,SKU-002,67.25,24,Almond Milk,Beverage,ShopeeFood
01-07-2025,SKU-002,145.66,52,Almond Milk,Beverage,ShopeeFood
01-08-2025,SKU-002,135.17,48,Almond Milk,Beverage,ShopeeFood
01-09-2025,SKU-002,93.83,34,Almond Milk,Beverage,ShopeeFood
01-10-2025,SKU-002,111.39,40,Almond Milk,Beverage,GrabFood
01-11-2025,SKU-002,96.87,35,Almond Milk,Beverage,ShopeeFood
01-12-2025,SKU-002,114.48,41,Almond Milk,Beverage,ShopeeFood
02-01-2026,SKU-002,96.79,35,Almond Milk,Beverage,ShopeeFood
02-02-2025,SKU-002,22.64,8,Almond Milk,Beverage,GrabFood
02-02-2026,SKU-002,38.86,14,Almond Milk,Beverage,ShopeeFood
02-03-2025,SKU-002,36.79,13,Almond Milk,Beverage,GrabFood
02-03-2026,SKU-002,30.37,11,Almond Milk,Beverage,GrabFood
02-04-2025,SKU-002,67.41,24,Almond Milk,Beverage,GrabFood
02-04-2026,SKU-002,101.06,36,Almond Milk,Beverage,GrabFood
02-05-2025,SKU-002,96.21,35,Almond Milk,Beverage,ShopeeFood
02-06-2025,SKU-002,66.97,24,Almond Milk,Beverage,ShopeeFood
02-07-2025,SKU-002,145.37,52,Almond Milk,Beverage,ShopeeFood
02-08-2025,SKU-002,112.02,41,Almond Milk,Beverage,GrabFood
02-09-2025,SKU-002,113.83,41,Almond Milk,Beverage,ShopeeFood
02-10-2025,SKU-002,127.89,46,Almond Milk,Beverage,ShopeeFood
02-11-2025,SKU-002,72.28,26,Almond Milk,Beverage,ShopeeFood
02-12-2025,SKU-002,146.68,52,Almond Milk,Beverage,ShopeeFood
03-01-2026,SKU-002,84.64,31,Almond Milk,Beverage,ShopeeFood
03-02-2025,SKU-002,59.43,21,Almond Milk,Beverage,GrabFood
03-02-2026,SKU-002,101.11,36,Almond Milk,Beverage,ShopeeFood
03-03-2025,SKU-002,32.7,12,Almond Milk,Beverage,GrabFood
03-03-2026,SKU-002,54.19,20,Almond Milk,Beverage,ShopeeFood
03-04-2025,SKU-002,72.33,26,Almond Milk,Beverage,GrabFood
03-04-2026,SKU-002,111.38,40,Almond Milk,Beverage,ShopeeFood
03-05-2025,SKU-002,117.57,42,Almond Milk,Beverage,GrabFood
03-06-2025,SKU-002,128.2,46,Almond Milk,Beverage,GrabFood
03-07-2025,SKU-002,154.65,55,Almond Milk,Beverage,ShopeeFood
03-08-2025,SKU-002,96.65,35,Almond Milk,Beverage,GrabFood
03-09-2025,SKU-002,158.14,57,Almond Milk,Beverage,ShopeeFood
03-10-2025,SKU-002,137.15,49,Almond Milk,Beverage,GrabFood
03-11-2025,SKU-002,136.66,49,Almond Milk,Beverage,ShopeeFood
03-12-2025,SKU-002,145.57,52,Almond Milk,Beverage,ShopeeFood
04-01-2026,SKU-002,77.4,28,Almond Milk,Beverage,ShopeeFood
04-02-2025,SKU-002,47.15,17,Almond Milk,Beverage,ShopeeFood
04-02-2026,SKU-002,142.73,51,Almond Milk,Beverage,GrabFood
04-03-2025,SKU-002,64.66,23,Almond Milk,Beverage,GrabFood
04-03-2026,SKU-002,63.48,23,Almond Milk,Beverage,GrabFood
04-04-2025,SKU-002,73.14,26,Almond Milk,Beverage,GrabFood
04-04-2026,SKU-002,42.45,15,Almond Milk,Beverage,GrabFood
04-05-2025,SKU-002,105.51,38,Almond Milk,Beverage,ShopeeFood
04-06-2025,SKU-002,130.72,47,Almond Milk,Beverage,GrabFood
04-07-2025,SKU-002,202.5,73,Almond Milk,Beverage,ShopeeFood
04-08-2025,SKU-002,133.28,48,Almond Milk,Beverage,GrabFood
04-09-2025,SKU-002,128.85,47,Almond Milk,Beverage,ShopeeFood
04-10-2025,SKU-002,86.3,31,Almond Milk,Beverage,ShopeeFood
04-11-2025,SKU-002,146.32,52,Almond Milk,Beverage,ShopeeFood
04-12-2025,SKU-002,103.55,37,Almond Milk,Beverage,ShopeeFood
05-01-2026,SKU-002,73.31,26,Almond Milk,Beverage,GrabFood
05-02-2025,SKU-002,104.24,37,Almond Milk,Beverage,ShopeeFood
05-02-2026,SKU-002,119.01,43,Almond Milk,Beverage,GrabFood
05-03-2025,SKU-002,83.54,30,Almond Milk,Beverage,ShopeeFood
05-03-2026,SKU-002,84.54,30,Almond Milk,Beverage,GrabFood
05-04-2025,SKU-002,47.78,18,Almond Milk,Beverage,GrabFood
05-04-2026,SKU-002,52.41,19,Almond Milk,Beverage,ShopeeFood
05-05-2025,SKU-002,133.17,48,Almond Milk,Beverage,ShopeeFood
05-06-2025,SKU-002,101.75,36,Almond Milk,Beverage,GrabFood
05-07-2025,SKU-002,91.77,33,Almond Milk,Beverage,ShopeeFood
05-08-2025,SKU-002,156.96,56,Almond Milk,Beverage,GrabFood
05-09-2025,SKU-002,80.3,29,Almond Milk,Beverage,ShopeeFood
05-10-2025,SKU-002,75.18,28,Almond Milk,Beverage,ShopeeFood
05-11-2025,SKU-002,162.84,58,Almond Milk,Beverage,ShopeeFood
05-12-2025,SKU-002,95.31,34,Almond Milk,Beverage,ShopeeFood
06-01-2026,SKU-002,125.96,45,Almond Milk,Beverage,ShopeeFood
06-02-2025,SKU-002,59.04,21,Almond Milk,Beverage,ShopeeFood
06-02-2026,SKU-002,121.93,44,Almond Milk,Beverage,ShopeeFood
06-03-2025,SKU-002,78.02,28,Almond Milk,Beverage,GrabFood
06-03-2026,SKU-002,22.28,8,Almond Milk,Beverage,ShopeeFood
06-04-2025,SKU-002,44.08,16,Almond Milk,Beverage,ShopeeFood
06-04-2026,SKU-002,127.01,45,Almond Milk,Beverage,GrabFood
06-05-2025,SKU-002,87.28,31,Almond Milk,Beverage,GrabFood
06-06-2025,SKU-002,98.27,36,Almond Milk,Beverage,ShopeeFood
06-07-2025,SKU-002,101.68,37,Almond Milk,Beverage,ShopeeFood
06-08-2025,SKU-002,138.0,49,Almond Milk,Beverage,ShopeeFood
06-09-2025,SKU-002,97.18,35,Almond Milk,Beverage,ShopeeFood
06-10-2025,SKU-002,142.95,51,Almond Milk,Beverage,ShopeeFood
06-11-2025,SKU-002,139.83,50,Almond Milk,Beverage,GrabFood
06-12-2025,SKU-002,89.53,32,Almond Milk,Beverage,GrabFood
07-01-2026,SKU-002,139.84,50,Almond Milk,Beverage,ShopeeFood
07-02-2025,SKU-002,70.46,25,Almond Milk,Beverage,ShopeeFood
07-02-2026,SKU-002,46.55,17,Almond Milk,Beverage,ShopeeFood
07-03-2025,SKU-002,52.3,19,Almond Milk,Beverage,GrabFood
07-03-2026,SKU-002,33.17,12,Almond Milk,Beverage,GrabFood
07-04-2025,SKU-002,72.65,26,Almond Milk,Beverage,GrabFood
07-04-2026,SKU-002,105.58,38,Almond Milk,Beverage,GrabFood
07-05-2025,SKU-002,168.55,60,Almond Milk,Beverage,ShopeeFood
07-06-2025,SKU-002,80.98,29,Almond Milk,Beverage,GrabFood
07-07-2025,SKU-002,157.05,56,Almond Milk,Beverage,GrabFood
07-08-2025,SKU-002,202.86,73,Almond Milk,Beverage,ShopeeFood
07-09-2025,SKU-002,66.1,24,Almond Milk,Beverage,ShopeeFood
07-10-2025,SKU-002,152.49,55,Almond Milk,Beverage,ShopeeFood
07-11-2025,SKU-002,200.92,72,Almond Milk,Beverage,ShopeeFood
07-12-2025,SKU-002,68.92,25,Almond Milk,Beverage,ShopeeFood
08-01-2026,SKU-002,149.73,53,Almond Milk,Beverage,ShopeeFood
08-02-2025,SKU-002,70.45,25,Almond Milk,Beverage,ShopeeFood
08-02-2026,SKU-002,56.16,20,Almond Milk,Beverage,ShopeeFood
08-03-2025,SKU-002,38.46,14,Almond Milk,Beverage,GrabFood
08-03-2026,SKU-002,16.68,6,Almond Milk,Beverage,ShopeeFood
08-04-2025,SKU-002,129.78,47,Almond Milk,Beverage,GrabFood
08-04-2026,SKU-002,106.98,38,Almond Milk,Beverage,GrabFood
08-05-2025,SKU-002,192.71,69,Almond Milk,Beverage,ShopeeFood
08-06-2025,SKU-002,41.55,15,Almond Milk,Beverage,ShopeeFood
08-07-2025,SKU-002,117.64,42,Almond Milk,Beverage,ShopeeFood
08-08-2025,SKU-002,206.99,74,Almond Milk,Beverage,ShopeeFood
08-09-2025,SKU-002,126.76,46,Almond Milk,Beverage,GrabFood
08-10-2025,SKU-002,149.09,55,Almond Milk,Beverage,ShopeeFood
08-11-2025,SKU-002,96.6,35,Almond Milk,Beverage,ShopeeFood
08-12-2025,SKU-002,120.8,44,Almond Milk,Beverage,ShopeeFood
09-01-2026,SKU-002,100.72,36,Almond Milk,Beverage,ShopeeFood
09-02-2025,SKU-002,42.45,15,Almond Milk,Beverage,GrabFood
09-02-2026,SKU-002,115.2,42,Almond Milk,Beverage,ShopeeFood
09-03-2025,SKU-002,47.17,17,Almond Milk,Beverage,GrabFood
09-03-2026,SKU-002,58.58,22,Almond Milk,Beverage,ShopeeFood
09-04-2025,SKU-002,53.77,19,Almond Milk,Beverage,GrabFood
09-05-2025,SKU-002,159.63,58,Almond Milk,Beverage,ShopeeFood
09-06-2025,SKU-002,133.27,48,Almond Milk,Beverage,ShopeeFood
09-07-2025,SKU-002,198.04,71,Almond Milk,Beverage,ShopeeFood
09-08-2025,SKU-002,123.67,45,Almond Milk,Beverage,GrabFood
09-09-2025,SKU-002,86.15,31,Almond Milk,Beverage,ShopeeFood
09-10-2025,SKU-002,143.16,51,Almond Milk,Beverage,ShopeeFood
09-11-2025,SKU-002,58.74,21,Almond Milk,Beverage,GrabFood
09-12-2025,SKU-002,136.42,49,Almond Milk,Beverage,ShopeeFood
10-01-2026,SKU-002,67.03,24,Almond Milk,Beverage,GrabFood
10-02-2025,SKU-002,79.24,28,Almond Milk,Beverage,GrabFood
10-02-2026,SKU-002,171.75,62,Almond Milk,Beverage,ShopeeFood
10-03-2025,SKU-002,45.01,16,Almond Milk,Beverage,GrabFood
10-03-2026,SKU-002,70.75,25,Almond Milk,Beverage,ShopeeFood
10-04-2025,SKU-002,91.35,33,Almond Milk,Beverage,ShopeeFood
10-05-2025,SKU-002,118.64,43,Almond Milk,Beverage,ShopeeFood
10-06-2025,SKU-002,126.06,46,Almond Milk,Beverage,ShopeeFood
10-07-2025,SKU-002,207.86,75,Almond Milk,Beverage,ShopeeFood
10-08-2025,SKU-002,69.46,25,Almond Milk,Beverage,ShopeeFood
10-09-2025,SKU-002,176.18,63,Almond Milk,Beverage,GrabFood
10-10-2025,SKU-002,137.04,49,Almond Milk,Beverage,ShopeeFood
10-11-2025,SKU-002,106.47,38,Almond Milk,Beverage,GrabFood
10-12-2025,SKU-002,135.67,49,Almond Milk,Beverage,ShopeeFood
11-01-2026,SKU-002,90.03,32,Almond Milk,Beverage,ShopeeFood
11-02-2025,SKU-002,53.77,19,Almond Milk,Beverage,ShopeeFood
11-02-2026,SKU-002,115.21,41,Almond Milk,Beverage,ShopeeFood
11-03-2025,SKU-002,58.49,21,Almond Milk,Beverage,ShopeeFood
11-03-2026,SKU-002,64.7,24,Almond Milk,Beverage,ShopeeFood
11-04-2025,SKU-002,76.54,28,Almond Milk,Beverage,GrabFood
11-05-2025,SKU-002,82.7,30,Almond Milk,Beverage,GrabFood
11-06-2025,SKU-002,180.91,65,Almond Milk,Beverage,GrabFood
11-07-2025,SKU-002,203.78,73,Almond Milk,Beverage,ShopeeFood
11-08-2025,SKU-002,149.54,54,Almond Milk,Beverage,ShopeeFood
11-09-2025,SKU-002,137.59,49,Almond Milk,Beverage,GrabFood
11-10-2025,SKU-002,64.05,23,Almond Milk,Beverage,ShopeeFood
11-11-2025,SKU-002,122.72,44,Almond Milk,Beverage,ShopeeFood
11-12-2025,SKU-002,113.37,40,Almond Milk,Beverage,ShopeeFood
12-01-2026,SKU-002,133.06,48,Almond Milk,Beverage,ShopeeFood
12-02-2025,SKU-002,98.1,35,Almond Milk,Beverage,ShopeeFood
12-02-2026,SKU-002,123.84,44,Almond Milk,Beverage,ShopeeFood
12-03-2025,SKU-002,58.67,21,Almond Milk,Beverage,GrabFood
12-03-2026,SKU-002,77.77,28,Almond Milk,Beverage,ShopeeFood
12-04-2025,SKU-002,72.26,26,Almond Milk,Beverage,ShopeeFood
12-05-2025,SKU-002,47.09,17,Almond Milk,Beverage,ShopeeFood
12-06-2025,SKU-002,169.16,61,Almond Milk,Beverage,ShopeeFood
12-07-2025,SKU-002,121.37,44,Almond Milk,Beverage,ShopeeFood
12-08-2025,SKU-002,182.29,65,Almond Milk,Beverage,ShopeeFood
12-09-2025,SKU-002,128.68,46,Almond Milk,Beverage,ShopeeFood
12-10-2025,SKU-002,86.84,31,Almond Milk,Beverage,ShopeeFood
12-11-2025,SKU-002,114.75,42,Almond Milk,Beverage,GrabFood
12-12-2025,SKU-002,141.2,51,Almond Milk,Beverage,ShopeeFood
13-01-2026,SKU-002,144.07,52,Almond Milk,Beverage,ShopeeFood
13-02-2025,SKU-002,75.4,27,Almond Milk,Beverage,GrabFood
13-02-2026,SKU-002,97.4,35,Almond Milk,Beverage,ShopeeFood
13-03-2025,SKU-002,71.7,26,Almond Milk,Beverage,GrabFood
13-03-2026,SKU-002,69.92,25,Almond Milk,Beverage,GrabFood
13-04-2025,SKU-002,63.94,23,Almond Milk,Beverage,ShopeeFood
13-05-2025,SKU-002,159.49,57,Almond Milk,Beverage,ShopeeFood
13-06-2025,SKU-002,149.34,54,Almond Milk,Beverage,ShopeeFood
13-07-2025,SKU-002,87.92,32,Almond Milk,Beverage,ShopeeFood
13-08-2025,SKU-002,156.38,56,Almond Milk,Beverage,ShopeeFood
13-09-2025,SKU-002,94.66,34,Almond Milk,Beverage,GrabFood
13-10-2025,SKU-002,132.76,47,Almond Milk,Beverage,GrabFood
13-11-2025,SKU-002,113.44,41,Almond Milk,Beverage,ShopeeFood
13-12-2025,SKU-002,99.64,36,Almond Milk,Beverage,GrabFood
14-01-2026,SKU-002,151.19,55,Almond Milk,Beverage,ShopeeFood
14-02-2025,SKU-002,69.28,25,Almond Milk,Beverage,ShopeeFood
14-02-2026,SKU-002,65.9,25,Almond Milk,Beverage,ShopeeFood
14-03-2025,SKU-002,46.45,17,Almond Milk,Beverage,GrabFood
14-03-2026,SKU-002,43.18,16,Almond Milk,Beverage,ShopeeFood
14-04-2025,SKU-002,106.7,38,Almond Milk,Beverage,ShopeeFood
14-05-2025,SKU-002,105.88,38,Almond Milk,Beverage,GrabFood
14-06-2025,SKU-002,103.85,37,Almond Milk,Beverage,ShopeeFood
14-07-2025,SKU-002,145.96,53,Almond Milk,Beverage,ShopeeFood
14-08-2025,SKU-002,171.17,62,Almond Milk,Beverage,ShopeeFood
14-09-2025,SKU-002,66.29,24,Almond Milk,Beverage,GrabFood
14-10-2025,SKU-002,181.96,65,Almond Milk,Beverage,ShopeeFood
14-11-2025,SKU-002,103.95,37,Almond Milk,Beverage,GrabFood
14-12-2025,SKU-002,50.21,18,Almond Milk,Beverage,GrabFood
15-01-2025,SKU-002,48.11,17,Almond Milk,Beverage,In-Store
15-01-2026,SKU-002,108.81,39,Almond Milk,Beverage,ShopeeFood
15-02-2025,SKU-002,52.47,19,Almond Milk,Beverage,GrabFood
15-02-2026,SKU-002,56.6,20,Almond Milk,Beverage,ShopeeFood
15-03-2025,SKU-002,53.17,19,Almond Milk,Beverage,GrabFood
15-03-2026,SKU-002,18.62,7,Almond Milk,Beverage,ShopeeFood
15-04-2025,SKU-002,122.97,44,Almond Milk,Beverage,GrabFood
15-05-2025,SKU-002,195.67,70,Almond Milk,Beverage,GrabFood
15-06-2025,SKU-002,102.35,37,Almond Milk,Beverage,ShopeeFood
15-07-2025,SKU-002,167.88,60,Almond Milk,Beverage,ShopeeFood
15-08-2025,SKU-002,163.11,58,Almond Milk,Beverage,ShopeeFood
15-09-2025,SKU-002,89.81,32,Almond Milk,Beverage,ShopeeFood
15-10-2025,SKU-002,131.28,47,Almond Milk,Beverage,ShopeeFood
15-11-2025,SKU-002,77.31,28,Almond Milk,Beverage,ShopeeFood
15-12-2025,SKU-002,115.96,42,Almond Milk,Beverage,ShopeeFood
16-01-2025,SKU-002,87.03,31,Almond Milk,Beverage,ShopeeFood
16-01-2026,SKU-002,113.41,41,Almond Milk,Beverage,ShopeeFood
16-02-2025,SKU-002,50.94,18,Almond Milk,Beverage,GrabFood
16-02-2026,SKU-002,109.21,39,Almond Milk,Beverage,GrabFood
16-03-2025,SKU-002,47.42,17,Almond Milk,Beverage,GrabFood
16-03-2026,SKU-002,56.25,20,Almond Milk,Beverage,ShopeeFood
